"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"Lost Vape - Thelema mini mod, dragon green";Other;00219-23-30346;"Efuma Aps";03-10-2023
"Geekvape - Legend 2 mod, navy blue";Other;00219-23-30376;"Efuma Aps";03-10-2023
"Geekvape - Q-pod 0.4ohm, 2ml (3 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-25-35668;"Efuma Aps";11-03-2025
"Lost Vape - Thelema mini mod, mystic red";Other;00219-23-30346;"Efuma Aps";03-10-2023
"Geekvape - Wenax q ultra, 2ml, dawn orange";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35663;"Efuma Aps";11-03-2025
"Lost Vape - Ursa nano pro battery, sunrise g";Other;00219-23-30361;"Efuma Aps";03-10-2023
"Geekvape - Legend 2 mod";Other;00219-23-30376;"Efuma Aps";03-10-2023
"Geekvape - Sonder q2 kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35666;"Efuma Aps";14-11-2025
"Geekvape - Sonder q2 kit, olive green";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35666;"Efuma Aps";14-11-2025
"Lost Vape - Thelema mini mod, carbon fiber";Other;00219-23-30346;"Efuma Aps";03-10-2023
"Geekvape - Aegis X 200W TC Mod";Other;00219-19-23203;"Efuma Aps";10-09-2019
"Vapeson - ego 2200mah";Other;00219-22-29295;"Efuma Aps";20-12-2022
"Lost Vape - Ursa baby 2 battery, pop black x time gear";Other;00219-23-30372;"Efuma Aps";03-10-2023
"Lost Vape - Ursa baby pro battery, pearl white";Other;00219-23-30367;"Efuma Aps";03-10-2023
"Innokin - Go by vapeson pen kit 1500mah, 2ml, light blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Vapeson - eGo 2200mAh";Other;00219-22-29295;"Efuma Aps";20-12-2022
"Lost Vape - Ursa baby pro battery, frost blue";Other;00219-23-30367;"Efuma Aps";03-10-2023
"Vapeson - Nano by vapeson kit, 2ml - Pink";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Vapeson - Nano by vapeson kit, 2ml - Light Yellow";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Innokin - Go by vapeson tank";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Innokin - Go by vapeson tank, 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Vapeson - Nano by vapeson kit, 2ml - Ice Blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Lost Vape - Ursa nano pro battery, classic black";Other;00219-23-30361;"Efuma Aps";03-10-2023
"Innokin - 2ml GO S Tank";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Vapeson - Ego 2200mah";Other;00219-22-29295;"Efuma Aps";20-12-2022
"Esug - American blend 20mg/ml";"Electronic cigarette – Disposable.";00219-24-33205;"Efuma Aps";29-01-2024
"Vapeson - Ego 2200mah, black";Other;00219-22-29295;"Efuma Aps";20-12-2022
"Innokin - 1500mAh GO S Pen 2ml Kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Innokin - Go by vapeson pen kit 1500mah, 2ml, stainless steel";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Innokin - Go by vapeson tank, 2ml, black";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Lost Vape - Ursa baby 2 battery";Other;00219-23-30372;"Efuma Aps";03-10-2023
"Lost Vape - Ursa baby 2 battery, pop green x time gear";Other;00219-23-30372;"Efuma Aps";03-10-2023
"Lost Vape - Ursa baby 2 battery, pop blue x time gear";Other;00219-23-30372;"Efuma Aps";03-10-2023
"Lost Vape - Ursa baby pro battery, golden knight";Other;00219-23-30367;"Efuma Aps";03-10-2023
"Vapeson - Nano by vapeson pod, 2ml (2stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-25-35382;"Efuma Aps";09-01-2025
"Innokin - Go by vapeson tank, 2ml, pink";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Vapeson - Spinner 1300mah, black";Other;00219-22-29298;"Efuma Aps";20-12-2022
"Innokin - 1500mAh Go By Vapeson Pen 2ml Kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Vapeson e - American blend 20mg/ml";"Electronic cigarette – Disposable.";00219-24-33205;"Efuma Aps";29-01-2024
"Vapeson - Nano by vapeson kit, 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Innokin - 2ml Go By Vapeson Tank";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Vapeson e - American blend";"Electronic cigarette – Disposable.";00219-24-33205;"Efuma Aps";29-01-2024
"Lost Vape - Ursa nano pro battery, babe pink";Other;00219-23-30361;"Efuma Aps";03-10-2023
"Vapeson - Spinner 1300mah";Other;00219-22-29298;"Efuma Aps";20-12-2022
"Vapeson - Nano by vapeson kit, 2ml - Klein Blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Lost Vape - Ursa baby pro battery, classic pearl";Other;00219-23-30367;"Efuma Aps";03-10-2023
"Vapeson - American brown 20mg/ml";"Electronic cigarette – Disposable.";00219-24-33205;"Efuma Aps";29-01-2024
"Lost Vape - Ursa nano pro battery, navy blue";Other;00219-23-30361;"Efuma Aps";03-10-2023
"Vapeson - Spinner 1300mAh";Other;00219-22-29298;"Efuma Aps";20-12-2022
"Lost Vape - Ursa baby pro battery";Other;00219-23-30367;"Efuma Aps";03-10-2023
"Innokin - Go by vapeson pen kit 1500mah, 2ml, pink";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Vapeson - Nano by vapeson kit, 2ml - Red";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Vapeson - Ego 2200mah, silver";Other;00219-22-29295;"Efuma Aps";20-12-2022
"Vapeson - Nano by vapeson kit, 2ml - Black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-25-35374;"Efuma Aps";09-01-2025
"Innokin - Go by vapeson pen kit 1500mah, 2ml, black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Innokin - Go by vapeson pen kit 1500mah, 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Esug - American blend";"Electronic cigarette – Disposable.";00219-24-33205;"Efuma Aps";29-01-2024
"Sxmini - Pumax pod, 0.6ohm (2 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-24-34620;"Efuma Aps";24-07-2024
"Innokin - Go by vapeson tank, 2ml, blue";"Individual part of electronic cigarette capable of containing e-liquid.";00219-20-24012;"Efuma Aps";16-01-2020
"Innokin - Go by vapeson pen kit 1500mah, 2ml, gun metal";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-20-23972;"Efuma Aps";18-06-2020
"Joyetech - Ego pod cartridge 1.2ohm, 2ml (5 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-26-29484;"Efuma Aps";10-12-2025
"Vapeson - Ego 1100mah, silver";Other;00219-22-29292;"Efuma Aps";20-12-2022
"Vapeson - Ego 1100mah, black";Other;00219-22-29292;"Efuma Aps";20-12-2022
"Vapeson - Ego 650mah, black";Other;00219-22-29289;"Efuma Aps";20-12-2022
"Innokin - Plexus pod, 0.8 ohm, 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";00128-25-00036;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Joyetech - Ego aio kit 1700mah, black/grey";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29439;"Efuma Aps";10-12-2025
"Vapeson - ego 1100mah";Other;00219-22-29292;"Efuma Aps";20-12-2022
"Vaporesso - Gtx 0.2 dual mesh coil";"Individual part of electronic cigarette capable of containing e-liquid.";00219-26-36014;"Efuma Aps";10-12-2025
"Innokin - Prism T18E Coil (1.5ohm)";"Individual part of electronic cigarette capable of containing e-liquid.";00128-16-00079;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";05-12-2024
"Vision - New spinner 2 battery 1600mah, red";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Joyetech - Ego aio kit 1700mah, black/white";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29439;"Efuma Aps";10-12-2025
"Innokin - PLEXUS CARTRIDGE (0.8 ohm),2ml";"Individual part of electronic cigarette capable of containing e-liquid.";00128-25-00036;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Joyetech - Ego aio kit 1700mah, 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29439;"Efuma Aps";10-12-2025
"Vision - New spinner 2 battery 1600mah";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Joyetech - Ego aio kit 1700mah, 2ml, black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29439;"Efuma Aps";10-12-2025
"Vision - New spinner 2 battery 1600mah, purple";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Innokin - Zenith M tank";"Individual part of electronic cigarette capable of containing e-liquid.";00128-23-00083;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";06-05-2025
"Vaporesso - Xr max 2 kit, black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Vision - New spinner 2 battery 1600mah, black";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Vapeson - eGo 650mAh";Other;00219-22-29289;"Efuma Aps";20-12-2022
"Vision - 1600mAh New Spinner II Battery";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Vapeson - eGo 1100mAh";Other;00219-22-29292;"Efuma Aps";20-12-2022
"Joyetech - Ego pod kit 1700mah, 2ml, black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29608;"Efuma Aps";10-12-2025
"Vapeson - Spinner 1300mah, silver";Other;00219-22-29298;"Efuma Aps";20-12-2022
"Vision - New spinner 2 battery 1600mah, rainbow";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Vapeson - ego 650mah";Other;00219-22-29289;"Efuma Aps";20-12-2022
"Vaporesso - Gtx 0.8 mesh coil";"Individual part of electronic cigarette capable of containing e-liquid.";00219-26-36016;"Efuma Aps";10-12-2025
"Vaporesso - Xr max 2 kit, blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Vaporesso - Xr max 2 kit, red";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Joyetech - Ego pod kit 1700mah, 2ml, blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29608;"Efuma Aps";10-12-2025
"Joyetech - Cubis bf ss316 coil, 0,6ohm (5 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-26-02399;"Efuma Aps";10-12-2025
"Joyetech - Ego pod kit 1700mah, 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29608;"Efuma Aps";10-12-2025
"Vaporesso - Xr max 2 kit, dark black leather";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Innokin - Plexus Go Kit (Sakura Pink）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - CoolFire Z80 NEX";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00128-25-00001;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";21-03-2025
"Vapeson - Ego 650mah";Other;00219-22-29289;"Efuma Aps";20-12-2022
"Vaporesso - Xr max 2 kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Innokin - CoolFire Z80 NEX Kit";"Electronic cigarette – Refillable, device only.";00128-24-00136;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";06-05-2025
"Vaporesso - Xr max 2 kit, imperial red leather";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Vision - New spinner 2 battery 1600mah, blue";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Joyetech - Ego aio kit 1700mah, silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29439;"Efuma Aps";10-12-2025
"Vapeson - Ego 1100mah";Other;00219-22-29292;"Efuma Aps";20-12-2022
"Joyetech - Ego pod kit 1700mah, 2ml, rainbow";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29608;"Efuma Aps";10-12-2025
"Vaporesos - Xr max 2 kit, flowing purple";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Vaporesso - Xr dtl Pod";Other;00219-26-36019;"Efuma Aps";10-12-2025
"Joyetech - Ego pod kit 1700mah, 2ml, silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29608;"Efuma Aps";10-12-2025
"Joyetech - Ego aio kit 1700mah, red/white";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-29439;"Efuma Aps";10-12-2025
"Vaporesso - Xr max 2 kit, silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-35994;"Efuma Aps";10-12-2025
"Vapeson - Ego 650mah, silver";Other;00219-22-29289;"Efuma Aps";20-12-2022
"Vision - New spinner 2 battery 1600mah, stainless steel";Other;00219-19-21480;"Efuma Aps";02-05-2019
"Innokin - Plexus Pro (lridescent Lavender )";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Vuse - Vuse Pod Emerald";"Refill container/cartridge containing e-liquid.";00170-25-35759;"Nicoventures Trading Limited";10-10-2025
"Innokin - Plexus Go";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Go Kit (Midnight Black）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - PLEXUS CARTRIDGE (0.6 ohm),2ml";"Individual part of electronic cigarette capable of containing e-liquid.";00128-25-00039;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Geekvape - Legend 5 mod, glacier green";Other;00219-25-35947;"Efuma Aps";21-10-2025
"Innokin - Plexus Go (Sakura Pink）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro (Shadow Gray)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Go Kit (Frost Blue）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro Kit (Shadow Gray)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Geekvape - Legend 5 mod";Other;00219-25-35947;"Efuma Aps";21-10-2025
"Innokin - Plexus Pro Kit (Pearlescent Rosaline)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Geekvape - Legend 5 mod, carbon black";Other;00219-25-35947;"Efuma Aps";21-10-2025
"Innokin - Plexus Pro (Pearlescent Cream)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro Kit (Navy Blue)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Vozol switch 600 Prefilled pod Brown 10 mg/ml";"Electronic cigarette – Disposable.";02828-26-90143;"Insano Aps";18-03-2026
"Innokin - Plexus Go Kit (Moonlight Silver）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Geekvape - Legend 5 mod, twilight blue";Other;00219-25-35947;"Efuma Aps";21-10-2025
"Innokin - Plexus Pro (Pearlescent Rosaline)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Go Kit (Indigo Blue）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro Kit (lridescent Lavender)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Geekvape - Legend 5 mod, turbo red";Other;00219-25-35947;"Efuma Aps";21-10-2025
"Vuse - Vuse Pod Brown";"Refill container/cartridge containing e-liquid.";00170-25-35763;"Nicoventures Trading Limited";10-10-2025
"Geekvape - Legend 5 mod, racing gold";Other;00219-25-35947;"Efuma Aps";21-10-2025
"Innokin - Plexus Pro (Midnight Black)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Go (Moonlight Silver)";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Go (Indigo Blue）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Brize - Vincibar Green 20mg/ml 2ML";"Electronic cigarette – Disposable.";03183-26-40007;"Danish Trade ApS";17-03-2026
"Innokin - Plexus Go (Midnight Black）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Vuse - Vuse Pro One Device";"Electronic cigarette – Refillable, device only.";00170-25-35764;"Nicoventures Trading Limited";10-10-2025
"Nikotin Boost PG/VG 18 mg.";"Refill container/cartridge containing e-liquid.";04250-19-00010;"LiQS ApS";09-11-2020
"Vuse - Vuse Pod Aqua";"Refill container/cartridge containing e-liquid.";00170-25-35761;"Nicoventures Trading Limited";10-10-2025
"Innokin - Plexus Pro Kit (Midnight Black)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro Kit (Pearlescent Cream)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus Pro (Navy Blue)";"Electronic cigarette – Refillable, device only.";00128-25-00040;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - TRiNE Replacement Battery";"Individual part of electronic cigarette capable of containing e-liquid.";00128-24-00118;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";13-11-2024
"Nikotin Boost VG 18 mg.";"Refill container/cartridge containing e-liquid.";04250-19-00011;"LiQS ApS";12-11-2020
"Innokin - Plexus Go (Frost Blue）";"Electronic cigarette – Refillable, device only.";00128-25-00038;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Innokin - Plexus pod, 0.6 ohm, 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";00128-25-00039;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";09-12-2025
"Vuse - Vuse Pod Blond";"Refill container/cartridge containing e-liquid.";00170-25-35762;"Nicoventures Trading Limited";10-10-2025
"Brize - Vincibar Pro Pod - Green 20mg/ml 2ML";"Refill container/cartridge containing e-liquid.";03183-26-40006;"Danish Trade ApS";17-03-2026
"Vuse - Vuse Pod Blue";"Refill container/cartridge containing e-liquid.";00170-25-35760;"Nicoventures Trading Limited";10-10-2025
"Vuse - Go 1000 Frosty Menthol 20mg";"Electronic cigarette – Disposable.";00170-23-30300;"Nicoventures Trading Limited";04-01-2024
"iSmoke Genopladeligt Batteri";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00226-16-00011;"DOIT Denmark ApS";13-09-2024
"VooPoo - Argus GT Mod";Other;03183-21-00001;"Danish Trade ApS";12-05-2021
"Aspire - Huracan Replacement Glass Tube";Other;03183-25-50006;"Danish Trade ApS";19-11-2024
"VooPoo - PnP-TR1";"Individual part of electronic cigarette capable of containing e-liquid.";03183-20-00171;"Danish Trade ApS";11-11-2020
"Eleaf - iStick Pico 2 Mod";Other;03183-18-60001;"Danish Trade ApS";21-07-2023
"VooPoo - Drag 3 Mod";Other;03183-21-00005;"Danish Trade ApS";12-05-2021
"Aspire - Zelos M80 Mod";Other;03183-25-50010;"Danish Trade ApS";08-07-2025
"Eleaf - iStick Pico X Mod";Other;03183-18-60000;"Danish Trade ApS";21-07-2023
"VooPoo - PnP Pod";Other;03183-20-00056;"Danish Trade ApS";12-01-2023
"Ezee Go Green 0mg";Other;00310-21-00012;"Ezee Trading ApS";31-03-2021
"VooPoo - TPP Pod";Other;03183-21-00009;"Danish Trade ApS";12-05-2021
"Aspire - Nautilus 3SR Tank Tube";Other;03183-23-50020;"Danish Trade ApS";06-07-2023
"VooPoo - Drag X Plus Pro Mod";Other;03183-21-00007;"Danish Trade ApS";12-05-2021
"Aspire - Favostix Pod 1.0";"Individual part of electronic cigarette capable of containing e-liquid.";03183-25-50009;"Danish Trade ApS";20-12-2024
"Ezee Next Red 12mg";"Refill container/cartridge containing e-liquid.";00310-23-00045;"Ezee Trading ApS";15-03-2023
"Aspire - Pixo Kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-25-50002;"Danish Trade ApS";18-11-2024
"Ezee Next Green 12mg";"Refill container/cartridge containing e-liquid.";00310-23-00048;"Ezee Trading ApS";15-03-2023
"Ezee Go+ Red 20mg";"Electronic cigarette – Disposable.";00310-23-00040;"Ezee Trading ApS";14-03-2023
"VooPoo - TPP-DM2";"Individual part of electronic cigarette capable of containing e-liquid.";03183-21-00011;"Danish Trade ApS";11-05-2021
"VOOPOO - PnP-VM4";"Individual part of electronic cigarette capable of containing e-liquid.";03183-20-00055;"Danish Trade ApS";24-06-2020
"Ezee Next Green 20mg";"Refill container/cartridge containing e-liquid.";00310-23-00049;"Ezee Trading ApS";15-03-2023
"VooPoo - Pnp-VM6";"Individual part of electronic cigarette capable of containing e-liquid.";03183-20-00054;"Danish Trade ApS";24-06-2020
"Aspire - Pixo Aura Kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-25-50002;"Danish Trade ApS";18-11-2024
"VooPoo - Vmate Cartridge v2 0.7";"Electronic cigarette – Refillable, device only.";03183-20-00166;"Danish Trade ApS";10-11-2020
"VOOPOO - PnP-VM1";"Individual part of electronic cigarette capable of containing e-liquid.";03183-20-00043;"Danish Trade ApS";24-06-2020
"Aspire - Pixo Pod 0.4";"Electronic cigarette – Refillable, device only.";03183-25-50003;"Danish Trade ApS";19-11-2024
"Innokin - Zenith M Glass Tube";Other;03183-25-30000;"Danish Trade ApS";02-05-2025
"VooPoo - V.SUIT";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-20-00163;"Danish Trade ApS";10-11-2020
"Ezee Green 12mg";"Electronic cigarette – Rechargeable, placed on the market with one type of e-liquid (fixed combination). Any rechargeable which can also be used as a refillable should be reported under the refillable categ";00310-16-00007;"Ezee Trading ApS";30-06-2023
"Vuse - Vuse Pro One Device";"Electronic cigarette – Refillable, device only.";00170-25-35765;"Nicoventures Trading Limited";10-10-2025
"Aspire - Favostix II";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-25-50007;"Danish Trade ApS";20-12-2024
"VooPoo - PnP MTL Pod";Other;03183-20-00164;"Danish Trade ApS";10-11-2020
"Ezee Go Red 0mg";Other;00310-21-00011;"Ezee Trading ApS";31-03-2021
"Eleaf - iStick Power 2 Mod";Other;03183-18-60002;"Danish Trade ApS";21-07-2023
"VooPoo - Pnp-VM5";"Individual part of electronic cigarette capable of containing e-liquid.";03183-20-00053;"Danish Trade ApS";24-06-2020
"Aspire - Pixo Neo Kit";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-25-50002;"Danish Trade ApS";18-11-2024
"Ezee Red 20mg";"Electronic cigarette – Rechargeable, placed on the market with one type of e-liquid (fixed combination). Any rechargeable which can also be used as a refillable should be reported under the refillable categ";00310-20-00009;"Ezee Trading ApS";11-02-2020
"Aspire - Favostix Pod 0.6";"Individual part of electronic cigarette capable of containing e-liquid.";03183-25-50008;"Danish Trade ApS";20-12-2024
"Ezee Green 20mg";"Electronic cigarette – Rechargeable, placed on the market with one type of e-liquid (fixed combination). Any rechargeable which can also be used as a refillable should be reported under the refillable categ";00310-20-00010;"Ezee Trading ApS";11-02-2020
"Aspire - Pixo Pod 0.6";"Electronic cigarette – Refillable, device only.";03183-25-50004;"Danish Trade ApS";19-11-2024
"Ezee Red 12mg";"Electronic cigarette – Rechargeable, placed on the market with one type of e-liquid (fixed combination). Any rechargeable which can also be used as a refillable should be reported under the refillable categ";00310-16-00005;"Ezee Trading ApS";30-06-2023
"VooPoo - Drag X Plus Mod";Other;03183-21-00007;"Danish Trade ApS";12-05-2021
"Aspire - Nautilus 3 Pyrex Replacement glass.";Other;03183-23-50020;"Danish Trade ApS";06-07-2023
"VooPoo - PnP-TM2";"Individual part of electronic cigarette capable of containing e-liquid.";03183-20-00162;"Danish Trade ApS";10-11-2020
"iSmoke Genopladeligt Batteri V2";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00226-16-00007;"DOIT Denmark ApS";26-06-2020
"Ezee Next Red 20mg";"Refill container/cartridge containing e-liquid.";00310-23-00046;"Ezee Trading ApS";15-03-2023
"Ezee Go+ Green 20mg";"Electronic cigarette – Disposable.";00310-23-00043;"Ezee Trading ApS";14-03-2023
"Aspire - Pockex coil 0.6";"Individual part of electronic cigarette capable of containing e-liquid.";03183-23-50001;"Danish Trade ApS";06-07-2023
